framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,96,8,0.007910399883985519
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,96,128,0.028137600421905516
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,4096,128,2.5067680358886717
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,160,64,0.02502399981021881
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,8192,8,0.25024640560150146
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,8,2,0.006735999882221222
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,1,32,0.006259199976921081
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,32,8,0.006214400008320809
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,128,64,0.016735999286174773
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,3072,16,0.036294400691986084
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,384,128,0.08232640027999878
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,48,32,0.007420799881219864
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,768,16,0.02208320051431656
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,96,2,0.006527999788522721
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,96,16,0.009139200299978256
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,1,64,0.006431999802589417
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,8,4,0.006700800359249115
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,3072,1,0.006566400080919266
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,1,4,0.0067103996872901915
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,192,8,0.009171199798583985
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,48,2,0.006691200286149978
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,512,16,0.015904000401496886
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,128,64,0.020559999346733093
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,6144,2,0.011987199634313583
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,16,2,0.00655680000782013
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,1024,16,0.02807680070400238
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,32,2,0.006438399851322174
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,1,16,0.0067103996872901915
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,512,16,0.020559999346733093
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,6144,8,0.03426559865474701
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,1536,128,0.4430816173553467
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,128,4,0.007465600222349167
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,4,2,0.006752000004053116
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,512,2,0.006454399973154068
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,4096,4,0.028137600421905516
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,128,1,0.006534399837255478
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,12288,8,0.41975998878479004
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,1536,8,0.022230400145053862
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,1536,4,0.012627199292182922
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,80,64,0.012377600371837615
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,12288,128,7.556566619873047
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,4096,2,0.016025599837303162
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,1536,64,0.42770562171936033
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,3072,2,0.01263359934091568
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,160,2,0.006092799827456474
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,32,1,0.006083200126886368
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,96,32,0.011840000003576278
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,320,64,0.03611840009689331
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,16,32,0.007897599786520004
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,80,128,0.02532159984111786
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,320,1,0.006297600269317627
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,4096,32,0.29557759761810304
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,3072,32,0.42507200241088866
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,3072,1,0.011609599739313126
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,768,8,0.016832000017166136
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,320,64,0.043382400274276735
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,1536,8,0.02773120105266571
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,256,1,0.006691200286149978
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,16,32,0.006198399886488915
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,96,4,0.007257600128650665
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,768,1,0.006121600046753883
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,2,32,0.006963200122117996
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,192,1,0.006185600161552429
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,32,2,0.006675200164318084
